MS:  	 1831: 
[DELstart] favourite[DELend][ADDstart] ese[ADDend]  books, 	 Roncesvalles, of 
principal [DELstart] car[DELend] characters 	 Round Table 
which were Orlando   	 King Arthur, and the chivalrous train who shed their blood to redeem the holy sepulchre from the hands of the infidels.   
  	 No human being could have passed a happier childhood 
mine. – [DELstart] Our[DELend][ADDstart] My[ADDend]  	 myself. My 
indul gent, 	 possessed by the very spirit of kindness 
my companions amiable.  and 	 indulgence. We felt that they were not the tyrants to rule 
stud forced, 	 lot according to their caprice, but the agents 
 by some means 	 creators of all the many delights which 
al[ADDstart] ^[ADDend] in 	 enjoyed. When I mingled with other families, I distinctly discerned how peculiarly fortunate my lot was, and gratitude assisted 
 prosecution 	 developement 
them.  It 	 filial love.     My temper 
by this [ADDstart] method[ADDend] not 	 sometimes violent, and my passions vehement; but 
emulation that we were  urged. Elizabeth was 	 some law in my temperature they were turned, 
told to apply  herself 	 towards childish pursuits, but 
drawing [DELstart] would[DELend][ADDstart] that[ADDend] might 	 an eager desire to learn, and 
outstrip her, but [DELstart] she[DELend][DELstart] was[DELend][DELstart] knew how[DELend][DELstart] a painting[DELend][ADDstart] by[ADDend][ADDstart] the[ADDend][ADDstart] desire of[ADDend][ADDstart] ing[ADDend][ADDstart] the representation[ADDend]  	 to learn all things indiscriminately. I confess that neither the structure of languages, nor the code 
 some 	 governments, nor the politics 
her[DELstart] s[DELend][DELstart] Latin[DELend] English 	 various states, possessed attractions for me. It was the secrets of heaven and earth 
we might  read 	 I desired to learn; and whether it was the outward substance of things, or 
writ[DELstart] ers[DELend][ADDstart] ings[ADDend][ADDstart] in[ADDend] languages 	 inner spirit of nature 
so far from study [DELstart] by[DELend][DELstart] were[DELend][ADDstart] ^[ADDend][ADDstart] r[ADDend][ADDstart] would have been[ADDend]  	 the mysterious soul of man that occupied me, still my enquiries were directed to the metaphysical, or, in its highest sense, 
 labours 	 physical secrets 
other children. perhaps  we did not read 	 the world.     Meanwhile Clerval occupied himself, 
many books [DELstart] a[DELend][DELstart] another child[DELend] those who are disciplined according to 	 to speak, with the moral relations of things. The busy stage of life, the virtues of heroes, and 
ordinary[ADDstart] method,[ADDend] learned 	 actions of men, were his theme; and his hope and his dream 
 impressed 	 to become one among those whose names are recorded in story, as 
more deeply  on 	 gallant and adventurous benefactors of 
[DELstart] this[DELend][ADDstart] XX[ADDend][ADDstart] the[ADDend] tion 	 species. The saintly soul 
do[DELstart] I include[DELend][DELstart] Hen[DELend][DELstart] Carignan[DELend][DELstart] in this account[DELend][DELstart] con[DELend][DELstart] sho[DELend][ADDstart] Clerval,[ADDend][ADDstart] ^[ADDend][ADDstart] he[ADDend] with me 	 peaceful home. Her sympathy was ours; her smile, her soft voice, the sweet glance of her celestial eyes, were ever there to bless 
 generally passed 	 animate us. She was 
afternoon at our house for tute 	 living spirit of love to soften and attract: I might have become sullen in my study, rough through the ardour 
companions at home, h[DELstart] to[DELend][ADDstart] is[ADDend]  father 	 my nature, but that she 
pleased that he  In this account 	 there to subdue me to a semblance of her own gentleness. And Clerval—could aught ill entrench on the noble spirit 
my early [DELstart] record [DELend] led to 	 Clerval?—yet he might not have been so perfectly humane, so thoughtful in his generosity—so full of kindness 
 nourished my taste 	 tenderness amidst his passion 
 that science which was 	 adventurous exploit, had she not unfolded to him 
 principal amusement 	 real loveliness 
my  boyish days 	 beneficence, and made the doing good the end 
in  . 	 aim of his soaring ambition.     
mentioned before  my taste for old books 	 feel exquisite pleasure in dwelling on the recollections 
chemist ry and natural magic 	 childhood, before misfortune had tainted my mind, 
I remem translation. I used when very young 	 changed its bright visions of extensive usefulness into gloomy and narrow reflections upon self. Besides, in drawing the picture of my early days, I also record those events which led, by insensible steps, 
 attend lectures 	 my after tale 
chemistry  given in Geneva and athough 	 misery: for when 
 did not understand them 	 would account to myself for 
 attract 	 birth of that passion, which afterwards ruled 
attention.[DELstart] I reme^mber[DELend][DELstart] also[DELend][DELstart] are[DELend][DELstart] caused[DELend][DELstart] by slight or[DELend][DELstart] s[DELend][DELstart] Strange as the[DELend][DELstart] statement of the[DELend][DELstart] simple fact[DELend][ADDstart] ^[ADDend][ADDstart] m[ADDend][ADDstart] derive thier origin from a[ADDend][ADDstart] ^[ADDend][ADDstart] statement of the[ADDend] may appear 	 destiny, I find it arise, like a mountain river, from ignoble and almost forgotten sources; but, swelling as it proceeded, it became the torrent which, in its course, has swept away all 
fate had been[DELstart] Chemist[DELend] ral 	 hopes and joys.     Natural 
[DELstart] has[DELend]  	[NO 1831 VARIANT]
 fate 	 fate; 
[DELstart] wish[DELend][ADDstart] desire[ADDend][ADDstart] refore[ADDend]  	 desire, therefore, 
account  of my early years 	 narration, 
my[DELstart] love[DELend][DELstart] pursuit[DELend][DELstart] first aqu[DELend][DELstart] of that study.[DELend][ADDstart] first aqu[ADDend] predeliction 	 my predilection 
 eleven 	 thirteen 
 old 	 of age, 
[DELstart] Thonon[DELend] the 	 the 
near[DELstart] and were confined there[DELend][DELstart] b[DELend][DELstart] obil[DELend][ADDstart] Thonon.[ADDend] obliged by 	 near Thonon: 
rain[DELstart] and[DELend][ADDstart] T[ADDend] he 	[NO 1831 VARIANT]
[DELstart] fo[DELend][DELstart] s[DELend]  	 volume 
 Works 	 works 
[DELstart] And[DELend]  	[NO 1831 VARIANT]
apathy [DELstart] but[DELend][ADDstart] ^[ADDend] the 	 apathy; the 
 that 	 which 
 attempted 	 attempts 
d demonstrate 	 demonstrate, 
that[DELstart] chan[DELend]  	 which he relates, 
into[DELstart] continued to re with[DELend]  	 into 
 dawned 	 seemed to dawn 
mind and [DELstart] I[DELend][DELstart] com[DELend] bounding 	 mind; and, bounding 
 joy 	 joy, 
I cannot help here remark [DELstart] parents[DELend][DELstart] have[DELend][ADDstart] ^[ADDend][ADDstart] instructors[ADDend][ADDstart] posess[ADDend] useful knowledge, which they utterly neglect. 	[NO 1831 VARIANT]
tit[DELstart] t[DELend] le page 	 titlepage 
book — [DELstart] Ah[DELend]  	 book, 
 said Ah! 	 said, “Ah! 
 — 	[NO 1831 VARIANT]
 Victor 	 Victor, 
 this – 	 this; 
trash.  If 	 trash.”     If, 
remark or rather excla mation 	 remark, 
[DELstart] ound[DELend][ADDstart] ^[ADDend][ADDstart] lain[ADDend]  	 explain 
 me 	 me, 
  	[NO 1831 VARIANT]
exploded. [DELstart] And[DELend][DELstart] aan[DELend]  	 exploded, 
[DELstart] another[DELend][ADDstart] a modern[ADDend] system 	 a modern system 
 introduced 	 introduced, 
 power 	 powers 
 ancient 	 ancient, 
 ancient 	 latter 
pretended  and 	[NO 1831 VARIANT]
moderns  are 	 former were 
 circumstances 	 circumstances, 
 with 	 have contented 
 imagination 	 imagination, 
was[ADDstart] sh[ADDend] aplied myself 	 was, by returning with greater ardour 
[DELstart] m[DELend][DELstart] ra[DELend][DELstart] has at present[DELend][DELstart] the approbation of the learned.[DELend][ADDstart] has resulted from modern discoveries[ADDend] It 	 my former studies. It 
 possible 	 possible, 
 might 	 would 
recieved that 	 received the 
 which 	 that 
 me 	[NO 1831 VARIANT]
[DELstart] the[DELend][ADDstart] ^[ADDend][ADDstart] its[ADDend]  	 its 
 When 	    When 
[DELstart] this[DELend][ADDstart] ^[ADDend][ADDstart] the[ADDend][ADDstart] ^[ADDend][ADDstart] whole[ADDend]  	 the whole 
 author 	 author, 
 those 	[NO 1831 VARIANT]
studi the 	 studied the 
 authors 	 writers 
 delight, 	 delight; 
besides myself; and, althoug I often wished 	 beside myself. I have described myself as always having been embued with a fervent longing 
[DELstart] discover[DELend][ADDstart] communicate[ADDend]  these secret stores 	 penetrate the secrets of nature. In spite of the intense labour and wonderful discoveries 
 knowledge 	 modern philosophers, I always came 
 father yet his 	 boy’s apprehensions, as tyros engaged 
[DELstart] I let[DELend] to Elizabeth therefore, under a strict promise 	 The untaught peasant beheld the elements around him, and was acquainted with their practical uses. The most learned philosopher knew little more. He had partially unveiled the face 
 secrecy; 	 Nature, 
 she did 	 her immortal lineaments were still a wonder and a mystery. He might dissect, anatomise, and give names; but, 
 interest herself 	 to speak of a final cause, causes 
[DELstart] them[DELend][ADDstart] the subject,[ADDend]  	 their secondary 
 was left by her 	 had gazed upon the fortifications and impediments that seemed 
pursue  It 	 keep human beings from entering the citadel of nature, and rashly and ignorantly I had repined.     But here were books, and here were men who had penetrated deeper and knew more. I took their word for all that they averred, and I became their disciple. It 
 very 	[NO 1831 VARIANT]
a desci ple of Albertus Magnus 	 such 
 century, 	 century; 
 our family 	 while I followed the routine of education in the schools of Geneva, I was, to a great degree, self taught with regard to my favourite studies. My father 
 scientifical, 	 scientific, 
[DELstart] did[DELend][ADDstart] had[ADDend][ADDstart] ed[ADDend]  therefore undisturbed by reality, and 	 was left to struggle with a child’s blindness, added to a student’s thirst for knowledge. Under the guidance of my new preceptors, 
 greates 	 greatest 
  	[NO 1831 VARIANT]
 philosophers 	 philosopher’s 
[DELstart] elizer vi[DELend][ADDstart]   or if you chose petrum philosophale [ADDend] elixer 	 elixir 
life[DELstart] tæ[DELend] . But 	 life; but 
most undi ved attention; wealth 	 undivided attention. Wealth 
 object 	 object; 
 would be the 	[NO 1831 VARIANT]
  of 	 would attend 
 discovery 	 discovery, 
[DELstart] besto[DELend][DELstart] forever[DELend] banish 	 banish 
 frame 	 frame, 
[DELstart] unatainable[DELend] invunerable 	 invulnerable 
  	[NO 1831 VARIANT]
death. Nor 	 death!     Nor 
 visions, the 	 visions. The 
[DELstart] was also a favour[DELend][ADDstart] ^[ADDend] was 	 was 
by[DELstart] ite[DELend][DELstart] pursuit[DELend][DELstart] and[DELend][DELstart] If I never saw any[DELend] my 	 by my 
 authors; 	 authors, 
sought; & 	 sought; and 
unsuccessful attributed 	 unsuccessful, I attributed 
[DELstart] th[DELend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend] to 	 to 
[ADDstart] ^[ADDend] or 	 or 
[ADDstart] s[ADDend] When I was about fifteen 	[NO 1831 VARIANT]
f[ADDstart] m[ADDend][ADDstart] n[ADDend] ations. 	 instructors. And thus for a time 
remember[DELstart] The[DELend][DELstart] fermentation[DELend][DELstart] of liquors[DELend][DELstart] di[DELend][ADDstart]   no [ADDend] wonder 	[NO 1831 VARIANT]
[DELstart] caused[DELend][DELstart] by an[DELend] engaged 	 occupied 
some experiements[DELstart] air pump[DELend][DELstart] electrical machine[DELend][ADDstart] electrical machine[ADDend] on 	 exploded systems, mingling, like 
air pump[DELstart] used[DELend][ADDstart] employed[ADDend] we were 	 unadept, a thousand contradictory theories, and floundering desperately 
 the habit 	 a very slough 
visiting.[ADDstart] s[ADDend]  on these 	 multifarious knowledge, guided by an ardent imagination 
several other points, served to decrease[DELstart] any[DELend][DELstart] some[DELend][DELstart] cocc[DELend][ADDstart] ^[ADDend][ADDstart] thier[ADDend][ADDstart] ^[ADDend][ADDstart] me[ADDend][ADDstart] some some[ADDend][ADDstart] should[ADDend][ADDstart] y[ADDend][ADDstart] ,[ADDend]  in 	 childish reasoning, till an accident again changed the current of 
mind–  	 ideas. 
[[ADDstart] W[ADDend] hen 	 When 
[DELstart] twelve[DELend][ADDstart] fourteen[ADDend]  	 fifteen 
 were at 	 had retired to 
 Belrive 	 Belrive, 
[DELstart] the[DELend]  	[NO 1831 VARIANT]
thunder storm it 	 thunder-storm. It 
Jura   	 the mountains of Jura; 
[DELstart] the d[DELend][DELstart] several quarte[DELend][DELstart] rs[DELend]  	[NO 1831 VARIANT]
[DELstart] and[DELend][ADDstart] ^[ADDend] from 	 frightful loudness from 
heavens  	 heavens. 
[DELstart] storm with pleasure[DELend][ADDstart] e[ADDend][ADDstart] ed[ADDend]  	 remained, 
lasted [DELstart] at[DELend][ADDstart] watching its[ADDend]  	 lasted, watching 
[DELstart] the door[DELend][DELstart] watchin[DELend][DELstart] g[DELend][DELstart] When it was most[DELend] As 	 and delight. As 
door[DELstart] violent[DELend] on 	 door, on 
[DELstart] the[DELend][ADDstart] ^[ADDend] a 	 a 
[DELstart] be[DELend]  	[NO 1831 VARIANT]
 oak 	 oak, which stood 
[DELstart] wh[DELend]  	[NO 1831 VARIANT]
 house 	 house; 
[DELstart] when[DELend] so 	 so 
[DELstart] dazz[DELend] dazzling 	 dazzling 
[DELstart] had[DELend][DELstart] dissa[DELend][DELstart] dissappeared[DELend][DELstart] the[DELend][DELstart] pa[DELend]  	[NO 1831 VARIANT]
[DELstart] hand[DELend][ADDstart] &[ADDend][ADDstart] remained[ADDend]  	 had disappeared, and nothing remained 
[DELstart] rent[DELend][ADDstart] ^[ADDend][ADDstart] blasted[ADDend]  	 blasted 
[DELstart] remained[DELend] . 	[NO 1831 VARIANT]
 morning 	 morning, 
[DELstart] trea[DELend]  	[NO 1831 VARIANT]
[DELstart] The[DELend][DELstart] C[DELend]  	[NO 1831 VARIANT]
 saw any thing 	 beheld anything 
The catastrophe of the [DELstart] and[DELend][DELstart] caused[DELend][DELstart] me to aply wi[DELend][DELstart] ith[DELend][DELstart] fresh di[DELend][DELstart] chemistry[DELend][DELstart] clamatio[DELend][ADDstart] ^[ADDend][ADDstart] induced[ADDend][ADDstart] natural philosophy[ADDend][ADDstart] i[ADDend]  	[NO 1831 VARIANT]
[DELstart] di[DELend] analyze its causes. Henry said that 	 Before this I was not unacquainted with 
Fairies and giants were at  a picture 	 more obvious laws 
it. in science were of 	 electricity. On this occasion 
higher nature. [DELstart] endeavou[DELend] and tried every kind of combination 	 man 
gasses [DELstart] to[DELend][ADDstart] ^[ADDend] Among other questions suggested 	 great research in natural philosophy was with us, and, excited 
natural objects[DELstart] as[DELend][DELstart] what[DELend][ADDstart] ^[ADDend] the nature & 	 this catastrophe, he entered on 
 origin 	 explanation 
thunder and lightening. [DELstart] was.[DELend] time 	 a theory which he had formed on 
 effect 	 subject 
that power. He [DELstart] made[DELend][ADDstart] constructed[ADDend] bited a few experiments 	 electricity 
made a [DELstart] and[DELend][ADDstart] &[ADDend][ADDstart] which[ADDend]  drew down 	 galvanism, which was at once new and astonishing to me. All 
fluid from the clouds.[DELstart] blow[DELend][DELstart] st[DELend]  stroke compleated 	 he said threw greatly into 
 overthrow of 	 shade 
 Magnus 	 Magnus, 
who had so long  reigned 	[NO 1831 VARIANT]
 imagination. But 	 imagination; but 
I did not feel enclined to [DELstart] inclination[DELend][ADDstart] disinclination[ADDend]  was influenced by 	[NO 1831 VARIANT]
following  should attend a course 	 overthrow 
lectures upon  natural philosophy, 	 these men disinclined me 
which I [DELstart] O P[DELend][ADDstart] ^[ADDend][ADDstart] cheerfully[ADDend] an early hour 	 pursue my accustomed studies. It seemed 
[DELstart] h[DELend][ADDstart] t[ADDend]  science enquiring 	 me 
he went out  	[NO 1831 VARIANT]
 any one 	 nothing 
[DELstart] but[DELend][DELstart] series of[DELend][DELstart] this lecture was unfortunately nearly the[DELend][DELstart] they were nearly over [DELend][DELstart] they[DELend][DELstart] last[DELend][ADDstart] Some accident prevented my attending the series of these lectures[ADDend][ADDstart] until they were nearly over they it was nearly finihsed. The[ADDend] lecture 	 or could ever be known. All that had so long engaged my attention suddenly grew despicable. By one of those caprices of the mind, 
I attended being thus [DELstart] the[DELend]  almost the last 	 we are perhaps most subject to 
his[DELstart] zinc bismuth[DELend][ADDstart] was entirely incomprehensible to me.[ADDend]  – of sulphats 	 early youth, I at once gave up my former occupations; set down natural history and all its progeny as a deformed and abortive creation; 
oxids [DELstart] and displayed so many[DELend][DELstart] words[DELend][ADDstart] terms[ADDend]  to 	 entertained the greatest disdain for a would-be science, 
 I 	[NO 1831 VARIANT]
[DELstart] not[DELend][DELstart] any[DELend][DELstart] that[DELend][ADDstart] no[ADDend] disgusted with 	 never even step within 
appearance[DELstart] of[DELend] From 	 threshold of real knowledge. In 
time untill I went to [DELstart] chemistry[DELend] the science 	 mood 
natural philosophy  although 	 mind 
still [DELstart] that stood about on a par[DELend][DELstart] studies[DELend][DELstart] th[DELend][ADDstart] in my estimation of nearly equal interest & utility.[ADDend][ADDstart] occupations[ADDend]  principally 	 betook myself to 
[DELstart] which I delighted in an[DELend]  	[NO 1831 VARIANT]
most  of 	[NO 1831 VARIANT]
[DELstart] th[DELend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] already[ADDend]  familiar to me 	 science, as being built upon secure foundations, 
I began to [DELstart] dictionary[DELend][DELstart] ese[DELend][DELstart] are[DELend][ADDstart] lexicon[ADDend][ADDstart] also[ADDend][ADDstart] is[ADDend][ADDstart] is[ADDend]  list 	 so worthy 
accom[DELstart] that[DELend][DELstart] time[DELend][DELstart] e period[DELend][ADDstart] e period the age of[ADDend] in acquiring 	 consideration.     Thus strangely are our souls constructed, 
maintaining a knowledge  As 	 by such slight ligaments are we bound to prosperity or ruin. When 
before mentioned my brothers  Ernest the second 	 look back, it seems to me as if this almost miraculous change 
 our family 	 inclination and will 
five[DELstart] soon[DELend][ADDstart] ^[ADDend][ADDstart] also[ADDend] me when I became 	 the immediate suggestion of 
 instructor 	 guardian angel 
brothers. Ernest was five years [ADDstart] thro which[ADDend] Elizabeth 	 life— the last effort made by the spirit of preservation to avert the storm that was even then hanging in the stars, 
I had been his constant [DELstart] m[DELend][DELstart] I[DELend] he 	 ready to envelope me. Her victory 
incapable any severe appli[ADDstart] st[ADDend] family was quite a child 	 announced by an unusual tranquillity 
the  most beautiful little fellow in 	 gladness of soul, which followed 
  	 relinquishing of my ancient 
[DELstart] affectionate[DELend] inspired the tenderest affection. Such 	 latterly tormenting studies. It 
our domestic circle from which [DELstart] f[DELend][DELstart] we were all equal[DELend][DELstart] we none[DELend][ADDstart] neither[ADDend]  	 thus that I was to be taught to associate evil with their prosecution, happiness with their disregard.     It was a strong effort 
  	[NO 1831 VARIANT]
 voice 	 spirit 
command was never heard [ADDstart] ,[ADDend][ADDstart] to[ADDend]  	 good; but it was ineffectual. Destiny was too potent, and her immutable laws had decreed my utter and terrible destruction. 
[ADDstart] 3[ADDend] When 	 W HEN  
 seventeen 	 seventeen, 
[DELstart] father[DELend][ADDstart] parents[ADDend]  	 parents 
[DELstart]  to[DELend] become 	 become 
In- golstadt. 	 Ingolstadt. 
 Geneva, 	 Geneva; 
 necessary 	 necessary, 
[DELstart] that[DELend]  	 education, 
[DELstart] besides[DELend][ADDstart] than[ADDend] those 	 than those 
[DELstart] for[DELend]  	[NO 1831 VARIANT]
[ADDstart] ^[ADDend][ADDstart] date.[ADDend]  But 	 date; but, 
 arrive 	 arrive, 
occurred: [DELstart] as if[DELend] omen 	 occurred—an omen, 
were  	 were, 
misery >Elizabeth 	 misery.     Elizabeth 
fever but [DELstart] [DELend]  	 fever; 
 not severe 	 severe, 
 quickly recovered. 	 was in the greatest danger. 
confinement [DELstart] mady[DELend][DELstart] made[DELend][ADDstart] ^[ADDend][ADDstart] made many[ADDend] guments 	 illness, many arguments 
[DELstart] not[DELend] to 	 to 
 to attend 	 attending 
 had 	 had, at first, 
[DELstart] the[DELend][DELstart] to these[DELend] to 	 to 
entreaties,  	 entreaties; 
[DELstart] ha[DELend]  	[NO 1831 VARIANT]
 recovering, 	 menaced, 
 debar herself from 	 control 
 society, and entered 	 anxiety. She attended 
cham[DELstart] it was safe[DELend] the danger 	 bed,—her watchful attentions triumphed over the malignity 
 infection 	 the distemper,—Elizabeth 
past  	 saved, but the 
 fatal: on 	 fatal to her preserver. On 
 sickened. Her 	 sickened; her 
[DELstart] very[DELend][DELstart] tr[DELend]  	 accompanied by the most alarming symptoms, 
[DELstart] wort[DELend]  	[NO 1831 VARIANT]
 evil. 	 event. 
 death bed 	 death-bed 
[DELstart] di[DELend]  	[NO 1831 VARIANT]
[DELstart] my mother[DELend][ADDstart] this admirable woman[ADDend] did 	 this best of women did 
myself. "My  "children said 	 myself:—“My children,” 
it was on your  "union that my 	 said, “my 
 "future 	 future 
placed. It  "will 	 placed on the prospect of your union. This expectation will 
[DELstart] fathor[DELend][DELstart] alone[DELend][ADDstart] alone[ADDend]  	 your father. 
 "love, 	 love, you must 
[DELstart] the other[DELend][DELstart] cons[DELend]  cousins. 	 my younger children. 
[DELstart] almost[DELend]  	[NO 1831 VARIANT]
[DELstart] being[DELend] than 	 that 
you, [DELstart] h[DELend]  and 	 you; and, 
 beloved, 	 beloved 
am  "is 	 have been, is 
 "these 	 these 
me [ADDstart] ^[ADDend] will 	 me; I will 
[DELstart] to[DELend]  	[NO 1831 VARIANT]
 "death 	 death, 
[DELstart] my[DELend][DELstart] beloved[DELend][DELstart] creatures[DELend]  	[NO 1831 VARIANT]
 "in 	 in 
world." She 	 world.”     She 
 calmly 	 calmly; 
 features 	 countenance 
[DELstart] lov[DELend]  	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
 irreperable 	 irreparable 
[DELstart] bla[DELend]  	[NO 1831 VARIANT]
 every where 	[NO 1831 VARIANT]
[DELstart] their[DELend][DELstart] minds[DELend][ADDstart] ^[ADDend][ADDstart] the soul[ADDend]  	 the soul; 
 they 	 we 
 theirs, 	 our own, 
ever:  hat 	 ever—that 
 loved 	 beloved 
[DELstart] faded[DELend] been 	 been 
[DELstart] never[DELend] so familiar 	 so familiar, 
 ear 	 ear, 
 days. But 	 days; but 
 evil 	 evil, 
[DELstart] true[DELend][DELstart] despair[DELend] bitterness 	 actual bitterness 
commences[DELstart] Then the survivors dare not turn[DELend][DELstart] But[DELend][ADDstart] ,[ADDend] Yet, 	 commences. Yet 
 who 	[NO 1831 VARIANT]
  	[NO 1831 VARIANT]
connection,  	 connection? 
[DELstart] need[DELend][ADDstart] should[ADDend]  	 should 
[DELstart] But[DELend][ADDstart] T[ADDend] he 	 The 
 arrives 	 arrives, 
[DELstart] a[DELend]  	[NO 1831 VARIANT]
 necessity 	 necessity; 
 on 	 upon 
 is 	 may be 
 sacriledge, 	 a sacrilege, 
Ba nished.– 	 banished. 
gone[DELstart] had be[DELend][DELstart] en[DELend][DELstart] taken[DELend][DELstart] away[DELend][ADDstart] lost[ADDend][ADDstart] ^[ADDend][ADDstart] was dead[ADDend]  	 dead, 
  	[NO 1831 VARIANT]
 perform 	 perform; 
[DELstart] & bless God if nothing[DELend][DELstart] else[DELend][DELstart] worse[DELend][DELstart] .[DELend][ADDstart] ^[ADDend][ADDstart] worse[ADDend] and 	[NO 1831 VARIANT]
idleness generated by grief would[DELstart] become a bad habit if further indulged[DELend][ADDstart] become a bad habit if further indulged[ADDend] and 	 rest, and 
our  	 ourselves fortunate, 
seized. My journey to Ingolstadt 	 seized.     My departure for Ingolstadt, 
 events 	 events, 
upon, [DELstart] and all that[DELend][DELstart] could[DELend]  	 upon. I 
[DELstart] was[DELend][ADDstart] a[ADDend] respite 	 a respite 
This time  was spent sadly. My mothers death 	 It appeared to me sacrilege so soon to leave the repose, akin to death, of the house of mourning, 
my speedy departure depressed  ed 	 to rush into the thick of life. I was new 
[DELstart] spr[DELend][DELstart] renew[DELend][DELstart] the spirit[DELend][DELstart] cast aa gleam[DELend][ADDstart] cast aa gleam[ADDend] renew 	 sorrow, but it did not 
spirit fullness in our little society. Since 	 less alarm me. I was unwilling to quit 
 death 	 sight 
her aunt her mind [DELstart] firmess[DELend] duties with the greatest exactitude 	 those that remained to me; and, above all, I desired to see my sweet Elizabeth in some degree consoled.     She indeed veiled her grief, 
[DELstart] her[DELend] she felt that 	 strove to act 
most imperious duty [DELstart] was[DELend][DELstart] to[DELend][ADDstart] of[ADDend][ADDstart] ing[ADDend]  her uncle 	 comforter to us all. She looked steadily on life, 
cousins hap  	 assumed its duties with courage and zeal. 
consoled me, amused her uncle, [DELstart] and[DELend]  instructed my brothers 	 devoted herself to those whom she had been taught to call her uncle 
I never  beheld her 	 cousins. Never was she 
 time 	 time, 
[DELstart] e[DELend] of 	 recalled the sunshine of 
time[DELstart] to others[DELend][ADDstart] ^[ADDend][ADDstart] was[ADDend]  	 smiles and spent them upon us. She forgot even her own regret in her endeavours to make us forget. 
[DELstart] hels[DELend] The 	 The 
lenghth  my friends excepting Clerval, who 	 length arrived. Clerval 
bitterly la[DELstart] not able[DELend][ADDstart] unable[ADDend]  	 had endeavoured 
 accompany me But 	 persuade 
[DELstart] bear[DELend][ADDstart] be persuaded[ADDend]  	 to permit him to accompany me, and 
part with him [DELstart] besides[DELend][DELstart] as[DELend][DELstart] he[DELend][DELstart] him to[DELend][ADDstart] ing[ADDend][ADDstart] that he should[ADDend] come 	 become my fellow student; but in vain. His father was 
